word/phrase,rank,sub
product ordered,0.632712256038922,Wiper blade
tq free,0.6297136063990776,Wiper blade
install watch,0.6287631353922892,Wiper blade
watch youtube,0.6287631353922892,Wiper blade
haha fast,0.6287631353922892,Wiper blade
watch,0.6287631353922892,Wiper blade
youtube,0.6287631353922892,Wiper blade
haha,0.6287631353922892,Wiper blade
youtube haha,0.6287631353922892,Wiper blade
excellent product,0.6266544835842142,Wiper blade
arrived safely,0.6243247500819938,Wiper blade
like original,0.6230438757925727,Wiper blade
importantly,0.6218022272362824,Wiper blade
yesterday,0.6217722461211735,Wiper blade
ambk,0.6154093194428355,Wiper blade
received product,0.6146809209342997,Wiper blade
price thank,0.611357826260785,Wiper blade
accepted,0.6112295899266955,Wiper blade
recommended buy,0.6104468636703286,Wiper blade
exora,0.6092506014659309,Wiper blade
change,0.6077252585062052,Wiper blade
free windshield,0.6065608115869526,Wiper blade
neatly,0.6054261996979474,Wiper blade
tried,0.6027358595308632,Wiper blade
arrived time,0.6026159189932225,Wiper blade
perfectly thank,0.6022058904292931,Wiper blade
goods best,0.6014876666787612,Wiper blade
finally rear,0.6014511526482381,Wiper blade
received wiper,0.6014203199085054,Wiper blade
condition received,0.6008513744362042,Wiper blade
packaging terbaikk,0.6004962996210855,Wiper blade
landing,0.5986360153705972,Wiper blade
landing perfectly,0.5986360153705972,Wiper blade
item ordered,0.5976675982670687,Wiper blade
fit rear,0.5975382846147226,Wiper blade
wiper kia,0.5975382846147226,Wiper blade
hatchback ub,0.5975382846147226,Wiper blade
rio hatchback,0.5975382846147226,Wiper blade
delivery time,0.5959614222152155,Wiper blade
managed try,0.5959591734839736,Wiper blade
securely havent,0.5959591734839736,Wiper blade
havent managed,0.5959591734839736,Wiper blade
wrapped quite,0.5959591734839736,Wiper blade
quite securely,0.5959591734839736,Wiper blade
managed,0.5959591734839736,Wiper blade
condition easy,0.5936661745139291,Wiper blade
come free,0.5936661745139291,Wiper blade
great come,0.5936661745139291,Wiper blade
nd time,0.5935056573906781,Wiper blade
buying store,0.5935056573906781,Wiper blade
store,0.5935056573906781,Wiper blade
prompt reply,0.5935056573906781,Wiper blade
time buying,0.5935056573906781,Wiper blade
thanks prompt,0.5935056573906781,Wiper blade
reply nd,0.5935056573906781,Wiper blade
quality recommended,0.5923250234658454,Wiper blade
wiper blade,0.5899460772197547,Wiper blade
satisfactory reliable,0.5889949466172113,Wiper blade
reliable,0.5889949466172113,Wiper blade
fit hopefully,0.5878085992843015,Wiper blade
blade okay,0.5799642635262009,Wiper blade
far good,0.579212805825162,Wiper blade
delivery nice,0.578785250040304,Wiper blade
nice product,0.578785250040304,Wiper blade
best service,0.5780999486399907,Wiper blade
perfectly myvi,0.5777283723047074,Wiper blade
proper wrapping,0.5777283723047074,Wiper blade
clear good,0.5777283723047074,Wiper blade
good came,0.5777283723047074,Wiper blade
myvi clear,0.5777283723047074,Wiper blade
came proper,0.5777283723047074,Wiper blade
sellers,0.5776969040418171,Wiper blade
pakaging,0.5773502691896257,Wiper blade
poor,0.5773502691896257,Wiper blade
poor pakaging,0.5773502691896257,Wiper blade
promised good,0.5751981810802516,Wiper blade
car perfectly,0.5731619051773111,Wiper blade
original bosch,0.5681052700309626,Wiper blade
continue,0.5672228061753142,Wiper blade
mmg,0.5669857036910096,Wiper blade
fluid,0.5665542000441304,Wiper blade
laju,0.5647464317384219,Wiper blade
fine condition,0.5641398941776699,Wiper blade
beautifully,0.5641398941776699,Wiper blade
packed fine,0.5641398941776699,Wiper blade
beautifully packed,0.5641398941776699,Wiper blade
delivery great,0.5641398941776699,Wiper blade
